project	cb_halstead_simple	cb_halstead_simple_div	cb_halstead_simple_bt	cb_halstead_inherit	cb_halstead_inherit_div	cb_halstead_inherit_bt
hadoop-common	0.9805884040072087	0.988990736929784	0.9811116880439501	0.8123596653814738	0.9792148026978513	0.8129025814625527
hadoop-hdfs	0.6288416121491973	0.6408054289572745	0.6299157002566638	0.5128524219057098	0.6003189888554182	0.513836871534318
hbase-server	0.8756242510703903	0.9611530254538535	0.8754771023387525	0.8246692074677432	0.9542168324173208	0.8245301690361865
zookeeper-server	0.9481114188568343	0.9301713117858721	0.9584181606800918	0.9498679367534317	0.9262438275501688	0.9584181606800918
alluxio-core	0.41221496383784206	0.35309522053709236	0.41221496383784206	0.40125135521005084	0.3519091598309236	0.40125135521005084
