project	run	cb_halstead_simple	cb_halstead_simple_div	cb_halstead_simple_bt	cb_halstead_inherit	cb_halstead_inherit_div	cb_halstead_inherit_bt
hadoop-common	0	0.9806762550128955	0.988990736929784	0.9811116880439501	0.8122670555039356	0.9792148026978513	0.8129025814625527
hadoop-common	1	0.9804009303916625	0.988990736929784	0.9811116880439501	0.8124250928494708	0.9792148026978513	0.8129025814625527
hadoop-common	2	0.9807522169173046	0.988990736929784	0.9811116880439501	0.8122717956648476	0.9792148026978513	0.8129025814625527
hadoop-common	3	0.9803384550949619	0.988990736929784	0.9811116880439501	0.8125698710018024	0.9792148026978513	0.8129025814625527
hadoop-common	4	0.9802499867999718	0.988990736929784	0.9811116880439501	0.8123302897798935	0.9792148026978513	0.8129025814625527
hadoop-common	5	0.9806923413999655	0.988990736929784	0.9811116880439501	0.81212053705283	0.9792148026978513	0.8129025814625527
hadoop-common	6	0.980792573278877	0.988990736929784	0.9811116880439501	0.8125742400463336	0.9792148026978513	0.8129025814625527
hadoop-common	7	0.9804876150856224	0.988990736929784	0.9811116880439501	0.8123539235377386	0.9792148026978513	0.8129025814625527
hadoop-common	8	0.9806124297920114	0.988990736929784	0.9811116880439501	0.8125423001363332	0.9792148026978513	0.8129025814625527
hadoop-common	9	0.980881236298814	0.988990736929784	0.9811116880439501	0.8121415482415525	0.9792148026978513	0.8129025814625527
hadoop-hdfs	0	0.6287645527548235	0.6408054289572745	0.6299157002566638	0.5126806638155768	0.6003189888554182	0.513836871534318
hadoop-hdfs	1	0.6289868690237176	0.6408054289572745	0.6299157002566638	0.51322725829233	0.6003189888554182	0.513836871534318
hadoop-hdfs	2	0.6290012104497933	0.6408054289572745	0.6299157002566638	0.5130975738131694	0.6003189888554182	0.513836871534318
hadoop-hdfs	3	0.6287095722072372	0.6408054289572745	0.6299157002566638	0.5125961510271299	0.6003189888554182	0.513836871534318
hadoop-hdfs	4	0.6292728553781483	0.6408054289572745	0.6299157002566638	0.5124541462486342	0.6003189888554182	0.513836871534318
hadoop-hdfs	5	0.6287618565855034	0.6408054289572745	0.6299157002566638	0.5132735707085032	0.6003189888554182	0.513836871534318
hadoop-hdfs	6	0.6285649252421514	0.6408054289572745	0.6299157002566638	0.5128387541120818	0.6003189888554182	0.513836871534318
hadoop-hdfs	7	0.6288525824119531	0.6408054289572745	0.6299157002566638	0.5130918863758994	0.6003189888554182	0.513836871534318
hadoop-hdfs	8	0.6287194995989207	0.6408054289572745	0.6299157002566638	0.5126137637211485	0.6003189888554182	0.513836871534318
hadoop-hdfs	9	0.6287821978397248	0.6408054289572745	0.6299157002566638	0.5126504509426251	0.6003189888554182	0.513836871534318
hbase-server	0	0.8756412030854304	0.9611530254538535	0.8754771023387525	0.8246739940326615	0.9542168324173208	0.8245301690361865
hbase-server	1	0.8756209273352276	0.9611530254538535	0.8754771023387525	0.824672345727791	0.9542168324173208	0.8245301690361865
hbase-server	2	0.8756614788356331	0.9611530254538535	0.8754771023387525	0.8246739940326615	0.9542168324173208	0.8245301690361865
hbase-server	3	0.8756614788356331	0.9611530254538535	0.8754771023387525	0.8246794134363835	0.9542168324173208	0.8245301690361865
hbase-server	4	0.8756209273352276	0.9611530254538535	0.8754771023387525	0.8246739940326615	0.9542168324173208	0.8245301690361865
hbase-server	5	0.8756209273352276	0.9611530254538535	0.8754771023387525	0.8246739940326615	0.9542168324173208	0.8245301690361865
hbase-server	6	0.8756044226838764	0.9611530254538535	0.8754771023387525	0.824672345727791	0.9542168324173208	0.8245301690361865
hbase-server	7	0.8756209273352276	0.9611530254538535	0.8754771023387525	0.8246739940326615	0.9542168324173208	0.8245301690361865
hbase-server	8	0.8756060709887468	0.9611530254538535	0.8754771023387525	0.8246739940326615	0.9542168324173208	0.8245301690361865
hbase-server	9	0.8755841469336736	0.9611530254538535	0.8754771023387525	0.8246240055894972	0.9542168324173208	0.8245301690361865
zookeeper-server	0	0.9497815531426889	0.9301713117858721	0.9584181606800918	0.9476001532591236	0.9262438275501688	0.9584181606800918
zookeeper-server	1	0.9507872065456024	0.9301713117858721	0.9584181606800918	0.9486266299125335	0.9262438275501688	0.9584181606800918
zookeeper-server	2	0.9520512874467801	0.9301713117858721	0.9584181606800918	0.9481170082556517	0.9262438275501688	0.9584181606800918
zookeeper-server	3	0.9502159919056737	0.9301713117858721	0.9584181606800918	0.9512424685590837	0.9262438275501688	0.9584181606800918
zookeeper-server	4	0.9466289130175565	0.9301713117858721	0.9584181606800918	0.9471521245852885	0.9262438275501688	0.9584181606800918
zookeeper-server	5	0.9485106772860861	0.9301713117858721	0.9584181606800918	0.9510931987318422	0.9262438275501688	0.9584181606800918
zookeeper-server	6	0.9471249447635882	0.9301713117858721	0.9584181606800918	0.9556659845408189	0.9262438275501688	0.9584181606800918
zookeeper-server	7	0.95056998716411	0.9301713117858721	0.9584181606800918	0.9522277370957221	0.9262438275501688	0.9584181606800918
zookeeper-server	8	0.94468555576598	0.9301713117858721	0.9584181606800918	0.9466628877946819	0.9262438275501688	0.9584181606800918
zookeeper-server	9	0.9407580715302766	0.9301713117858721	0.9584181606800918	0.9502911747995707	0.9262438275501688	0.9584181606800918
