project	cb_halstead_simple	cb_halstead_simple_effort	cb_halstead_simple_difficulty	cb_halstead_simple_volume	cb_halstead_simple_vocabulary	cb_halstead_simple_length	cb_halstead_simple_div	cb_halstead_simple_effort_div	cb_halstead_simple_difficulty_div	cb_halstead_simple_volume_div	cb_halstead_simple_vocabulary_div	cb_halstead_simple_length_div	cb_halstead_simple_bt	cb_halstead_simple_effort_bt	cb_halstead_simple_difficulty_bt	cb_halstead_simple_volume_bt	cb_halstead_simple_vocabulary_bt	cb_halstead_simple_length_bt	cb_halstead_inherit	cb_halstead_inherit_effort	cb_halstead_inherit_difficulty	cb_halstead_inherit_volume	cb_halstead_inherit_vocabulary	cb_halstead_inherit_length	cb_halstead_inherit_div	cb_halstead_inherit_effort_div	cb_halstead_inherit_difficulty_div	cb_halstead_inherit_volume_div	cb_halstead_inherit_vocabulary_div	cb_halstead_inherit_length_div	cb_halstead_inherit_bt	cb_halstead_inherit_effort_bt	cb_halstead_inherit_difficulty_bt	cb_halstead_inherit_volume_bt	cb_halstead_inherit_vocabulary_bt	cb_halstead_inherit_length_bt
hadoop-common	0.9327643588746236	0.9233269930375121	0.9344996675317243	0.9330023117720047	0.932815444979535	0.9260791234826936	0.998135973161566	0.9917727217896882	0.9992658323900143	0.997951410107406	0.9990955908814129	0.998135973161566	0.9605554326680664	0.9612691374541287	0.9626758699199417	0.9605554326680665	0.9611543795141206	0.9605554326680664	0.8929785666427144	0.9117329612300833	0.9070488028533361	0.8922890072016494	0.8949574254585447	0.8932373608442581	0.9964732686432554	0.9744387640989512	0.9911905105798104	0.9962165814824558	0.9933247208978491	0.9964732686432554	0.9276293413977686	0.9384256089432821	0.9386640849026996	0.9276293413977686	0.9286053432309529	0.9276293413977686
hadoop-hdfs	0.5587206419241254	0.5406213077429793	0.4402903795725577	0.5618758669169279	0.5751649624192258	0.5587872189095799	0.8918620973385798	0.5853930606808275	0.5762181919358025	0.8609193034232974	0.6193344145257893	0.8918620973385798	0.5606420056392792	0.5425235869628704	0.44228596485860705	0.563542816090292	0.5769874131689937	0.5606420056392792	0.5304371439754169	0.5114236836859836	0.3792820322329057	0.5335756566084155	0.5471941904160911	0.5302750977991927	0.8818623296988779	0.5585306067572835	0.5499987938159778	0.8492002613593547	0.5931739653276353	0.8818623296988779	0.5322233619740528	0.5132155535870435	0.38127222645327	0.5355179812209201	0.5490319626614377	0.5322233619740528
hbase-server	0.9351737568993858	0.9141677019873506	0.8295679020261278	0.9351960322741338	0.9395550342858812	0.9351745170478378	0.9909192976223068	0.972818507473507	0.9751598917897997	0.990914541760733	0.9788847395061594	0.9909192976223068	0.9351808687085322	0.9141774659158102	0.8295744064042666	0.9352056659599756	0.9395627481065916	0.9351808687085322	0.9220647228502703	0.8913554356996263	0.8071973684665248	0.9219854252934249	0.9245965312993644	0.9220643274862019	0.9908813582770112	0.9720313435962136	0.9745898149125773	0.9908717448650425	0.9783956809582806	0.9908813582770112	0.9220732595696559	0.8913628703699332	0.8072077260690065	0.9219941432084016	0.9246056938691597	0.9220732595696559
zookeeper-server	0.9495338655245146	0.9495031351520625	0.9496899618012273	0.9481408192137809	0.9473283943613519	0.9516558156504752	0.9508212914791144	0.9465550532177575	0.9532126970228171	0.9529749992308335	0.9532126636807526	0.9508212914791144	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9482761430903767	0.9512976196831354	0.9493608138351273	0.9456705577291352	0.9501277712838682	0.9484042198040594	0.9497521508604739	0.9465550532177573	0.957794226203735	0.9554028206600325	0.955729208781957	0.9497521508604739	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9573230959219696	0.9573230959219696
alluxio-core	0.42067558650142356	0.4173381481834524	0.40655960971603256	0.41767191391994046	0.4337070080735077	0.42042732887358614	0.5104172347777381	0.5037828221833074	0.4997138414584628	0.510906907980413	0.525689707813608	0.5104172347777381	0.4201838315097426	0.41687940428919235	0.4062201146570388	0.4171767503659886	0.43328508245255215	0.42017799883744544	0.4125744081085072	0.40850386358276775	0.4028442593830371	0.4127103739291533	0.42683041254446014	0.412838426291742	0.5087924138673318	0.5017526305482497	0.49808318787575934	0.5092781986218086	0.5240609984550035	0.5087924138673318	0.41225115040578925	0.40807970518914705	0.4022945853733027	0.41225115040578925	0.42650526230829444	0.4122453177334921
