project	cb_halstead_simple	cb_halstead_simple_effort	cb_halstead_simple_difficulty	cb_halstead_simple_volume	cb_halstead_simple_vocabulary	cb_halstead_simple_length	cb_halstead_simple_div	cb_halstead_simple_effort_div	cb_halstead_simple_difficulty_div	cb_halstead_simple_volume_div	cb_halstead_simple_vocabulary_div	cb_halstead_simple_length_div	cb_halstead_simple_bt	cb_halstead_simple_effort_bt	cb_halstead_simple_difficulty_bt	cb_halstead_simple_volume_bt	cb_halstead_simple_vocabulary_bt	cb_halstead_simple_length_bt	cb_halstead_inherit	cb_halstead_inherit_effort	cb_halstead_inherit_difficulty	cb_halstead_inherit_volume	cb_halstead_inherit_vocabulary	cb_halstead_inherit_length	cb_halstead_inherit_div	cb_halstead_inherit_effort_div	cb_halstead_inherit_difficulty_div	cb_halstead_inherit_volume_div	cb_halstead_inherit_vocabulary_div	cb_halstead_inherit_length_div	cb_halstead_inherit_bt	cb_halstead_inherit_effort_bt	cb_halstead_inherit_difficulty_bt	cb_halstead_inherit_volume_bt	cb_halstead_inherit_vocabulary_bt	cb_halstead_inherit_length_bt
hadoop-common	0.9806266532191541	0.9839659378702605	0.9878580038159044	0.9806812904598663	0.9846543184156318	0.9806190505273195	0.988990736929784	0.9877702488078258	0.9897794939086599	0.9881910094555119	0.9893869818313652	0.988990736929784	0.9811116880439501	0.9844027508458825	0.9881769054352545	0.9811116880439501	0.985067002053612	0.9811116880439501	0.812383422797381	0.8136886160566809	0.8135680839926828	0.8123835609178226	0.8191630074348171	0.812388948315308	0.9792148026978513	0.8682497637909025	0.9092506144303731	0.9763413393534035	0.9281456597651147	0.9792148026978513	0.8129025814625527	0.8141419574653852	0.8140513777552403	0.8129025814625527	0.8196492366548954	0.8129025814625527
hadoop-hdfs	0.6288855627837282	0.6023073776984162	0.5339958515634102	0.629889386544694	0.6431960236946873	0.6288433531023379	0.6408054289572745	0.5084812323787411	0.416101011598781	0.6151392250057007	0.45638020497257326	0.6408054289572745	0.6299157002566638	0.6033730816138068	0.5350121340428674	0.6307464470038557	0.644176875977904	0.6299157002566638	0.5128370090427607	0.48473998682828867	0.39667770597389046	0.5137179102560422	0.5304519034734209	0.5128385136477798	0.6003189888554182	0.4376697274653686	0.37329797344754806	0.5681632200114753	0.4098834193815915	0.6003189888554182	0.513836871534318	0.4856685749166878	0.3977984269639909	0.51477422159535	0.5315016164235727	0.513836871534318
hbase-server	0.8756264434758977	0.8545763232854735	0.8207613039726538	0.8767473798473302	0.8861817116223804	0.8756304986259382	0.9611530254538535	0.9206224456325773	0.9198382019953254	0.9590120508209325	0.9391751213904099	0.9611530254538535	0.8754771023387525	0.8544217710246138	0.8206087792868144	0.8766065507641698	0.8860498644406474	0.8754771023387525	0.824698866873277	0.8102116784021889	0.7807205495882719	0.8270500009122556	0.8352029926562591	0.824684509017648	0.9542168324173208	0.8831229401300443	0.8853336516501578	0.950545996169452	0.9072678234721159	0.9542168324173208	0.8245301690361865	0.810070777226099	0.7805518517511814	0.8268945770500497	0.8350400004343442	0.8245301690361865
zookeeper-server	0.9522169528438861	0.9508722530844714	0.9514342178173376	0.9494188340382552	0.9491558911825151	0.9537975471526068	0.9301713117858721	0.9481034183448015	0.9515280758790481	0.9321350539037239	0.9510388390884414	0.9301713117858721	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9495737590219473	0.9531553361880913	0.951243959065435	0.9476683877631182	0.9517290750443644	0.9495118372507347	0.9262438275501688	0.9481034183448015	0.9554555601147514	0.9340987960215755	0.9530025812062931	0.9262438275501688	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9584181606800918	0.9584181606800918
alluxio-core	0.41221496383784206	0.40448293450144424	0.38816173663092113	0.40816455879733793	0.4556224449196107	0.4120677606975084	0.35309522053709236	0.35126748412050446	0.34916748478019966	0.34925143516924434	0.35984280402949453	0.35309522053709236	0.41221496383784206	0.40448293450144424	0.38816173663092113	0.40816455879733793	0.4556224449196107	0.41147894813617375	0.40125135521005084	0.39233326516748435	0.3853349328514264	0.40125135521005084	0.4461730456126535	0.40115321978316176	0.3519091598309236	0.3472600298912739	0.3476134162231967	0.34769736661224143	0.358411404756103	0.3519091598309236	0.40125135521005084	0.39233326516748435	0.3853349328514264	0.40125135521005084	0.4461730456126535	0.4005153395083826
