project	cb_cyclo	cb_cyclo_bt	cb_cyclo_div
hadoop-common	0.9740706351608952	0.9758535190999904	0.9998990717212016
hadoop-hdfs	0.7017962160290957	0.7618478989511154	0.9152040370204151
hbase-server	0.8243760786359267	0.8353078930243308	0.9946805078093534
zookeeper-server	0.9069543060602958	0.9017904055482678	0.9016148973337331
alluxio-core	0.8579556998867682	0.8563750505877307	0.7503894338484227
