project	cb_cyclo	cb_cyclo_bt	cb_cyclo_div
hadoop-common	0.9847634865904203	0.9801096434265524	0.9987989820903683
hadoop-hdfs	0.7558163954689905	0.7661845614014874	0.6522224731825854
hbase-server	0.8729651183088928	0.8769787933805974	0.9478000866310279
zookeeper-server	0.9189315787443273	0.9153506372353036	0.8695465002910872
alluxio-core	0.9113323852144916	0.8766064005281253	0.43473098977536934
