project	run	cb_cyclo	cb_cyclo_bt	cb_cyclo_div
hadoop-common	0	0.9850791473638835	0.9801096434265524	0.9987989820903683
hadoop-common	1	0.9836158746433159	0.9801096434265524	0.9987989820903683
hadoop-common	2	0.9853121869564384	0.9801096434265524	0.9987989820903683
hadoop-common	3	0.9839775192599278	0.9801096434265524	0.9987989820903683
hadoop-common	4	0.9853171224792165	0.9801096434265524	0.9987989820903683
hadoop-common	5	0.9854225826991178	0.9801096434265524	0.9987989820903683
hadoop-common	6	0.9852940415710245	0.9801096434265524	0.9987989820903683
hadoop-common	7	0.9856274408780737	0.9801096434265524	0.9987989820903683
hadoop-common	8	0.9846828666669414	0.9801096434265524	0.9987989820903683
hadoop-common	9	0.9833060833862641	0.9801096434265524	0.9987989820903683
hadoop-hdfs	0	0.7437309285211813	0.7661845614014874	0.6522239960870688
hadoop-hdfs	1	0.7665858938763824	0.7661845614014874	0.6522087670422345
hadoop-hdfs	2	0.7532497150888031	0.7661845614014874	0.6522239960870688
hadoop-hdfs	3	0.7387583547403264	0.7661845614014874	0.6522239960870688
hadoop-hdfs	4	0.7526420974869655	0.7661845614014874	0.6522239960870688
hadoop-hdfs	5	0.765648205268787	0.7661845614014874	0.6522087670422345
hadoop-hdfs	6	0.7497231589155111	0.7661845614014874	0.6522239960870688
hadoop-hdfs	7	0.7683751240262481	0.7661845614014874	0.6522239960870688
hadoop-hdfs	8	0.758520245647712	0.7661845614014874	0.6522544541767374
hadoop-hdfs	9	0.7609302311179884	0.7661845614014874	0.6522087670422345
hbase-server	0	0.8807319564837377	0.8769747382305568	0.9477873093078691
hbase-server	1	0.8868493644439446	0.8769747382305568	0.9477521772111857
hbase-server	2	0.8807073714207406	0.8769747382305568	0.9477873093078691
hbase-server	3	0.8673747541876015	0.8769747382305568	0.9478092333629423
hbase-server	4	0.8695293085512066	0.8769747382305568	0.9477889576127396
hbase-server	5	0.8709514412822098	0.8769747382305568	0.9477670335576663
hbase-server	6	0.8730740426430831	0.8769950139807596	0.9478662895146991
hbase-server	7	0.8696704689002449	0.8769747382305568	0.9478092333629423
hbase-server	8	0.8678894469273127	0.8769950139807596	0.9478224414045526
hbase-server	9	0.8628730282488468	0.8769747382305568	0.9478108816678128
zookeeper-server	0	0.9197605633061886	0.9153506372353036	0.8695465002910872
zookeeper-server	1	0.9187888846804004	0.9153506372353036	0.8695465002910872
zookeeper-server	2	0.9173143793531553	0.9153506372353036	0.8695465002910872
zookeeper-server	3	0.9187888846804004	0.9153506372353036	0.8695465002910872
zookeeper-server	4	0.9182860579789436	0.9153506372353036	0.8695465002910872
zookeeper-server	5	0.9202498000967952	0.9153506372353036	0.8695465002910872
zookeeper-server	6	0.919271326515582	0.9153506372353036	0.8695465002910872
zookeeper-server	7	0.9178036161437619	0.9153506372353036	0.8695465002910872
zookeeper-server	8	0.9187888846804004	0.9153506372353036	0.8695465002910872
zookeeper-server	9	0.9202633900076455	0.9153506372353036	0.8695465002910872
alluxio-core	0	0.9034500171763457	0.8756495801159565	0.43309948830333794
alluxio-core	1	0.9144867556803157	0.8771216115192931	0.434080842572229
alluxio-core	2	0.9066094223140055	0.876140257250402	0.4337128347213948
alluxio-core	3	0.9327726133221231	0.8772442808029045	0.4354302046919542
alluxio-core	4	0.9009805473558522	0.8774896193701274	0.43432618113945176
alluxio-core	5	0.9216706567084048	0.8772442808029045	0.4353075354083428
alluxio-core	6	0.9120157780703938	0.876140257250402	0.4354302046919542
alluxio-core	7	0.8937755953671382	0.8757722493995679	0.43567554325917696
alluxio-core	8	0.9237513971671416	0.8766309343848476	0.43567554325917696
alluxio-core	9	0.9038110689831946	0.8766309343848476	0.4345715197066745
