project	cb_cyclo	cb_cyclo_bt	cb_cyclo_div	cb_cyclo_halstead_simple_volume	cb_cyclo_halstead_simple_length	cb_cyclo_halstead_simple_vocabulary	cb_cyclo_halstead_simple_volume_vocabulary	cb_cyclo_halstead_simple_volume_length	cb_cyclo_halstead_inherit_volume	cb_cyclo_halstead_inherit_length	cb_cyclo_halstead_inherit_vocabulary	cb_cyclo_halstead_inherit_volume_vocabulary	cb_cyclo_halstead_inherit_volume_length	cb_cyclo_halstead_simple_volume_div	cb_cyclo_halstead_simple_length_div	cb_cyclo_halstead_simple_vocabulary_div	cb_cyclo_halstead_simple_volume_vocabulary_div	cb_cyclo_halstead_simple_volume_length_div	cb_cyclo_halstead_inherit_volume_div	cb_cyclo_halstead_inherit_length_div	cb_cyclo_halstead_inherit_vocabulary_div	cb_cyclo_halstead_inherit_volume_vocabulary_div	cb_cyclo_halstead_inherit_volume_length_div	cb_cyclo_halstead_simple_volume_bt	cb_cyclo_halstead_simple_length_bt	cb_cyclo_halstead_simple_vocabulary_bt	cb_cyclo_halstead_simple_volume_vocabulary_bt	cb_cyclo_halstead_simple_volume_length_bt	cb_cyclo_halstead_inherit_volume_bt	cb_cyclo_halstead_inherit_length_bt	cb_cyclo_halstead_inherit_vocabulary_bt	cb_cyclo_halstead_inherit_volume_vocabulary_bt	cb_cyclo_halstead_inherit_volume_length_bt
hadoop-common	0.9848097666840965	0.9801096434265524	0.9987989820903683	0.9868347992680244	0.9868347992680244	0.9877993910082103	0.9868347992680244	0.9868347992680244	0.985746227684093	0.985746227684093	0.9857160344473781	0.985746227684093	0.985746227684093	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9987989820903683	0.9868347992680244	0.9868347992680244	0.9877993910082103	0.9868347992680244	0.9868347992680244	0.985746227684093	0.985746227684093	0.9857160344473781	0.985746227684093	0.985746227684093
hadoop-hdfs	0.7602004034043811	0.7661845614014874	0.6522331335139694	0.7539627984039088	0.7534926585976914	0.7545489460958101	0.7539586392575077	0.753970927038963	0.7291704404307268	0.7286761847748414	0.7293899266079718	0.7291851991130158	0.729128594776052	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.6522392251319031	0.7542474382559392	0.7537641272690077	0.7548255732008105	0.7542474382559392	0.7542474382559392	0.7294302652753261	0.7289469542883945	0.7296813277393227	0.7294302652753261	0.7294302652753261
hbase-server	0.8703017390819263	0.8769889312556988	0.947816377163855	0.832535973865013	0.8318926023397948	0.8399503313761961	0.8325380014400332	0.832535973865013	0.816309978774297	0.8156666072490788	0.8202489376192552	0.8163180890743781	0.8163140339243375	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.9478662895146991	0.8325461117401144	0.8319007126398759	0.8399584416762773	0.8325461117401144	0.8325461117401144	0.8163201166493983	0.8156747175491599	0.8202590754943566	0.8163201166493983	0.8163201166493983
zookeeper-server	0.9181025941824661	0.9153506372353036	0.8695465002910872	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.8695465002910872	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036	0.9153506372353036
alluxio-core	0.9104726069575368	0.8767658705968201	0.4343752488528963	0.8037692443885663	0.8048495069781226	0.8101105065815177	0.8037692443885663	0.8037692443885663	0.8016830936733967	0.8015236236047019	0.8071242658573472	0.8016830936733967	0.8016830936733967	0.4329768190197265	0.4329768190197265	0.43285414973611513	0.4329768190197265	0.4329768190197265	0.43285414973611513	0.43285414973611513	0.43285414973611513	0.43285414973611513	0.43285414973611513	0.8037692443885663	0.8043833637003994	0.8101105065815177	0.8037692443885663	0.8037692443885663	0.8016830936733967	0.8009470779717284	0.8071242658573472	0.8016830936733967	0.8016830936733967
