project	cb_cyclo	cb_cyclo_bt	cb_cyclo_div	cb_cyclo_halstead_simple_volume	cb_cyclo_halstead_simple_length	cb_cyclo_halstead_simple_vocabulary	cb_cyclo_halstead_simple_volume_vocabulary	cb_cyclo_halstead_simple_volume_length	cb_cyclo_halstead_inherit_volume	cb_cyclo_halstead_inherit_length	cb_cyclo_halstead_inherit_vocabulary	cb_cyclo_halstead_inherit_volume_vocabulary	cb_cyclo_halstead_inherit_volume_length	cb_cyclo_halstead_simple_volume_div	cb_cyclo_halstead_simple_length_div	cb_cyclo_halstead_simple_vocabulary_div	cb_cyclo_halstead_simple_volume_vocabulary_div	cb_cyclo_halstead_simple_volume_length_div	cb_cyclo_halstead_inherit_volume_div	cb_cyclo_halstead_inherit_length_div	cb_cyclo_halstead_inherit_vocabulary_div	cb_cyclo_halstead_inherit_volume_vocabulary_div	cb_cyclo_halstead_inherit_volume_length_div	cb_cyclo_halstead_simple_volume_bt	cb_cyclo_halstead_simple_length_bt	cb_cyclo_halstead_simple_vocabulary_bt	cb_cyclo_halstead_simple_volume_vocabulary_bt	cb_cyclo_halstead_simple_volume_length_bt	cb_cyclo_halstead_inherit_volume_bt	cb_cyclo_halstead_inherit_length_bt	cb_cyclo_halstead_inherit_vocabulary_bt	cb_cyclo_halstead_inherit_volume_vocabulary_bt	cb_cyclo_halstead_inherit_volume_length_bt
hadoop-common	0.974186381366757	0.9758535190999904	0.9998990717212016	0.9759994867892386	0.9759994867892388	0.9762275757667561	0.9759994867892386	0.9759994867892386	0.9758770906724142	0.9758770906724142	0.9760195324957756	0.9758770906724142	0.9758770906724142	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9998990717212016	0.9759994867892386	0.9759994867892388	0.9762275757667561	0.9759994867892386	0.9759994867892386	0.9758770906724143	0.9758770906724142	0.9760195324957756	0.9758770906724143	0.9758770906724143
hadoop-hdfs	0.7044534063349303	0.7618478989511154	0.9152040727322732	0.6820334741723004	0.679060163056698	0.683531191470434	0.6820291308252973	0.6820296074668646	0.6771712595329944	0.6741859815088446	0.6784700432804913	0.677174255461579	0.677135893692011	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.9152041039801491	0.6822337800818489	0.6792565253758239	0.6837302692179377	0.6822337800818489	0.6822337800818489	0.6773498603180377	0.6743726056120128	0.6786761123752169	0.6773498603180377	0.6773498603180377
hbase-server	0.822435757275474	0.835307901276813	0.9946805716353062	0.8096940797000259	0.8096687533218556	0.812540181958243	0.8096953257609588	0.8096933629294387	0.807944211999937	0.8079173111859768	0.8105906585427227	0.8079413892242563	0.8079430499120077	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.9946806545168455	0.8097021409686506	0.8096782084535981	0.8125496121773588	0.8097021409686506	0.8097021409686506	0.8079507950482366	0.8079268625331841	0.8105997892822254	0.8079507950482366	0.8079507950482366
zookeeper-server	0.9060528698821047	0.9017904055482678	0.9016148973337331	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.9017904055482678	0.9017904055482678	0.9017904055482678	0.901790405548268	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.9016148973337331	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.901790405548268	0.9017904055482678	0.901790405548268	0.901790405548268
alluxio-core	0.8595904510781655	0.8563764115446001	0.750439692041383	0.7549747603746982	0.755499939982796	0.7563657775882988	0.7550398668518206	0.755077991049471	0.7540718455804618	0.7543239006153901	0.7546800959962456	0.7542823678554685	0.7540628018533525	0.7505587757674497	0.7505587757674497	0.7502904728417812	0.7505587757674497	0.7505587757674497	0.7505578036554001	0.7505578036554001	0.7502904728417812	0.7505578036554001	0.7505578036554001	0.7545741726132298	0.75516769024362	0.756118823056582	0.7545741726132298	0.7545741726132298	0.7537785008136249	0.7537726681413277	0.7543924380848983	0.7537785008136249	0.7537785008136249
