project	add_ccs_ca	tot_ccm_ca	add_ccm_ca	tot_ccs_ca	tot_pc-sys_ca	add_pc-sys_ca	tot_pc-chg_ca	add_pc-chg_ca	tot_st-sys_ca	add_st-sys_ca	tot_st-chg_ca	add_st-chg_ca	tot_ccm	add_ccm	tot_ccs	add_ccs	tot_pc-sys	add_pc-sys	tot_pc-chg	add_pc-chg	tot_st-sys	add_st-sys	tot_st-chg	add_st-chg
hadoop-common	0.9984539172788133	0.9916000525445138	0.9986350766991031	0.9922341105155282	0.9814393407513345	0.909970611964898	0.9855299226406055	0.9130024141613403	0.9847159945734993	0.9984146660710839	0.9914408065266981	0.9988864277461771	0.9916242071338858	0.9986592312884751	0.9922341105155282	0.9984539172788133	0.9786968798739045	0.9925814815734779	0.9923878162656867	0.9962578746346326	0.985078313414079	0.9980040380517602	0.9915306117409914	0.99889246639352
zookeeper-server	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.9490746585863687	0.884313297420898	0.9667623659421053	0.8869746403495852	0.9883431443721987	0.8943621158877456	0.9249530052115116	0.8955852078642622	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.945430677426369	0.921021816629141	0.9621232745197063	0.9268064936977884	0.9903062069945079	0.9441433183230576	0.9167589684643928	0.9315189706387784
alluxio-core	0.986587440339663	0.9061570224205403	0.9930889123710663	0.8915117894968554	0.804242441868779	0.43493298849817075	0.8529046412452295	0.5261693180563846	0.8665921483668935	0.9938003942160123	0.8603344691151606	0.9946958799863754	0.9061079547070957	0.9933097170815668	0.8915240564252165	0.9864279702709682	0.7980998298686723	0.8290281433721177	0.8357885360718657	0.8437550765791907	0.8660926492020604	0.994131601281763	0.8594303158931653	0.9950638878372096
