project	run	add_ccs_ca	tot_ccm_ca	add_ccm_ca	tot_ccs_ca	tot_pc-sys_ca	add_pc-sys_ca	tot_pc-chg_ca	add_pc-chg_ca	tot_st-sys_ca	add_st-sys_ca	tot_st-chg_ca	add_st-chg_ca	tot_ccm	add_ccm	tot_ccs	add_ccs	tot_pc-sys	add_pc-sys	tot_pc-chg	add_pc-chg	tot_st-sys	add_st-sys	tot_st-chg	add_st-chg
hadoop-common	0	0.9905631457892564	0.9850767517936198	0.9903015119391859	0.9861241156833903	0.9659737688574099	0.7051997811713381	0.9668139101907208	0.9696430834364043	0.984393097704542	0.9878611653600309	0.9783662718370507	0.9948107506759613	0.9850767517936198	0.9903015119391861	0.9861241156833903	0.9905641796445717	0.9672068431307272	0.948592233457135	0.9858631759624764	0.9960154410077589	0.9847060112466682	0.9896509412201996	0.9783756557976554	0.9948398173895981
hadoop-common	1	0.9905631457892564	0.9850767517936198	0.990301511939186	0.9861241156833903	0.9659737688574098	0.7052272277254558	0.9668139101907208	0.9696431624833589	0.9843930977045421	0.9876023569127436	0.978339046980412	0.9947904181880918	0.985084333399266	0.9902463729890321	0.9861241156833903	0.9905641796445718	0.9437404927215848	0.9370447466683581	0.9890681291567359	0.9971827191073375	0.9846787863900296	0.9895051676207294	0.978576912965719	0.9963834323554289
hadoop-common	2	0.9905631457892564	0.9850767517936198	0.990301511939186	0.9861241156833903	0.9659737688574098	0.7051757586125058	0.9668139101907208	0.9696337740619219	0.984393097704542	0.9877550228809836	0.978339046980412	0.9948110952943997	0.9850795087411275	0.9903028904129404	0.9861241156833903	0.9905641796445716	0.9651728330487019	0.927410108981203	0.987054446179325	0.9967396417681258	0.9847876858165845	0.9894117760239048	0.9785447841881756	0.9977849553310787
hadoop-common	3	0.9905628011708181	0.9850767517936198	0.9903015119391858	0.9861241156833903	0.9659737688574098	0.7052036446989667	0.9668139101907208	0.9696383837248587	0.984393097704542	0.9876206216899823	0.9783662718370507	0.9948107506759613	0.9850815764517583	0.9903028904129401	0.9861241156833903	0.9905641796445717	0.9619395118686591	0.9344165522041915	0.988588978102107	0.9976896623224607	0.9846246812951905	0.989417979155798	0.978493859922049	0.9948398173895975
hadoop-common	4	0.9905628011708181	0.9850767517936198	0.9903015119391859	0.9861241156833903	0.9659737688574099	0.7052277823510069	0.9669895888651789	0.9696381565965102	0.9843930977045421	0.9877350350115527	0.978339046980412	0.9948107506759613	0.9850767517936198	0.9903018565576249	0.9861241156833903	0.9905628011708177	0.9653051476754579	0.933143630846966	0.9892380593077784	0.9961435435023527	0.984550932949359	0.9894986198703982	0.9783390469804121	0.9948411958633516
hadoop-common	5	0.9905631457892565	0.9850767517936198	0.9903015119391859	0.9861241156833903	0.9659737688574098	0.7052273778093526	0.9669895888651789	0.9696334461929398	0.984393097704542	0.987755367499422	0.9783662718370507	0.9947904181880919	0.9850815764517583	0.9903018565576249	0.9861241156833903	0.9905641796445717	0.9539029622909931	0.9057908213577454	0.9875605147441421	0.9964385403944369	0.9844516828390811	0.9896026946388145	0.9785645067019343	0.9948608391143445
hadoop-common	6	0.9905631457892564	0.9850767517936198	0.990301511939186	0.9861241156833903	0.9659737688574098	0.7052279217155564	0.9669895888651789	0.9696430950597498	0.9843930977045421	0.9878804639925848	0.978339046980412	0.9948110952943996	0.9850767517936198	0.9903018565576249	0.9861241156833903	0.9905641796445717	0.9569884450667886	0.9696648751020811	0.9856644520161598	0.9983389492952671	0.9847466762224072	0.9893301014539896	0.9783835820217401	0.997784955331079
hadoop-common	7	0.9905631457892565	0.9850767517936198	0.9903015119391858	0.9861241156833903	0.9659737688574098	0.70520976433586	0.9669895888651789	0.9696429485891862	0.984393097704542	0.9876233786374901	0.9783662718370507	0.9947900735696533	0.9850795087411275	0.9903025457945014	0.9861241156833903	0.9905631457892563	0.9650244521886019	0.898000695815275	0.9878364287715689	0.997671698515996	0.9843834483882652	0.989409363694836	0.9783711757579555	0.9977468310204926
hadoop-common	8	0.9905631457892565	0.9850767517936198	0.9903015119391859	0.9861241156833903	0.9659737688574098	0.705199896264546	0.9669895888651789	0.9696384348406066	0.9843930977045421	0.9876020122943052	0.9783662718370507	0.9947904181880918	0.985084333399266	0.9902474068443473	0.9861241156833903	0.9905631457892562	0.9548587369385277	0.9098715528394837	0.9880077216991751	0.9968245985071723	0.984458919826289	0.9894355546961591	0.9784587088413256	0.9977849553310792
hadoop-common	9	0.9905631457892564	0.9850767517936198	0.990301511939186	0.9861241156833903	0.9659737688574098	0.7052280717994532	0.9668139101907208	0.9696430103969589	0.9843930977045421	0.9876020122943052	0.978339046980412	0.9948107506759611	0.9850767517936198	0.9902463729890318	0.9861241156833903	0.9905631457892562	0.9634350767745886	0.9372148980486711	0.984562349182018	0.9971113025585768	0.9844768399850891	0.9897257234213466	0.9785447841881757	0.9948394727711595
zookeeper-server	0	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8982007089678412	0.9427364904465833	0.8659266252286834	0.9843710715777017	0.8981654226952913	0.9311021328572778	0.9030121571604696	0.9926503389815703	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9432272420812868	0.9254885313487424	0.9395983144149276	0.9327660599487648	0.9861634422712058	0.9441032480377455	0.9458050430092729	0.922132310548009
zookeeper-server	1	0.9926503389815702	0.9926503389815703	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8989546730725747	0.9427364904465833	0.8655966450919921	0.9843710715777015	0.8979082220096717	0.9311021328572778	0.9022562092028977	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9530254064566354	0.9340134575147844	0.9499159232162475	0.9149385968461621	0.9844892152918883	0.91994100663006	0.9433192355002995	0.9398377895782714
zookeeper-server	2	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8990695769890951	0.9427364904465834	0.8664659730015113	0.9843710715777015	0.8964028111260751	0.9311021328572778	0.9019988751490202	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9500331144491506	0.9252333940822445	0.9511685325339726	0.9464047492630943	0.9850084976460795	0.9706169890278176	0.9443370644497665	0.9555375655883517
zookeeper-server	3	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8980564283459037	0.9427364904465833	0.8650207236842201	0.9843710715777015	0.8961496615012933	0.9311021328572777	0.9037656211342355	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9441530954247106	0.9302288003155937	0.9400048394183101	0.9181622853903447	0.9870925033615664	0.9523968637408843	0.9631630710232615	0.9361547668924792
zookeeper-server	4	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9497616426460488	0.8979436916635765	0.9427364904465833	0.8653905738195665	0.9843710715777015	0.8976590734326311	0.9311021328572777	0.901496393565843	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9926503389815702	0.9444800853799931	0.9253123827262635	0.9542021363212048	0.8966881899046123	0.9865588718487561	0.9269523314598945	0.9249502804005223	0.9665047744141155
zookeeper-server	5	0.9926503389815701	0.9926503389815702	0.9926503389815702	0.9926503389815702	0.9497616426460488	0.8990695769890951	0.9427364904465833	0.8664107511675638	0.9843710715777015	0.8974075909110747	0.9311021328572778	0.9027628252020742	0.9926503389815703	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9411297637486985	0.9098525953873113	0.9425490995743504	0.9227016047453738	0.9846485746743184	0.9441371882742213	0.930821646062405	0.9464930121728556
zookeeper-server	6	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9497616426460488	0.897445261141237	0.9427364904465833	0.865013291685315	0.9843710715777017	0.8984188890696858	0.9311021328572778	0.9032653067852514	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.939487958704715	0.8870053166328478	0.9499827370179719	0.9139325066246042	0.986823632968668	0.934122400624703	0.9413264571202573	0.9538476151831494
